"ppn"	"mv"	"trial"	"blk"	"hnd"	"tfac"	"fac"	"prmt"	"ttype"	"xr"	"r"	"cor"	"rt"	"re"	"target"	"contingency_aware"	"contingency_correct"
"1"	1	"v"	1	1	1	2	6	216	0	6	6	1	1442	1	"irritant"	1	1
"2"	1	"v"	2	1	1	2	2	216	0	6	6	1	907	1	"irritant"	1	1
"3"	1	"v"	3	1	1	1	0	216	0	6	6	1	1148	1	"humeurig"	1	1
"4"	1	"v"	4	1	1	2	3	216	1	5	5	1	1050	7	"mooi"	1	1
"5"	1	"v"	5	1	1	2	4	216	0	6	6	1	1407	1	"stug"	1	1
"6"	1	"v"	6	1	1	1	1	216	1	5	5	1	599	10	"aangenaam"	1	1
"7"	1	"v"	7	1	1	2	6	216	1	5	5	1	598	1	"mooi"	1	1
"8"	1	"v"	8	1	1	2	6	216	0	6	6	1	690	7	"onvriendelijk"	1	1
"9"	1	"v"	9	1	1	2	3	216	1	5	5	1	796	1	"sympathiek"	1	1
"10"	1	"v"	10	1	1	1	1	216	1	5	5	1	991	7	"liefhebbend"	1	1
"11"	1	"v"	11	1	1	2	4	216	0	6	6	1	933	1	"onvriendelijk"	1	1
"12"	1	"v"	12	1	1	1	0	216	0	6	6	1	1130	1	"onaardig"	1	1
"13"	1	"v"	13	1	1	1	0	216	0	6	6	1	641	1	"stug"	1	1
"14"	1	"v"	14	1	1	1	7	216	1	5	5	1	625	7	"mooi"	1	1
"15"	1	"v"	15	1	1	2	6	216	1	5	5	1	1087	1	"liefhebbend"	1	1
"17"	1	"v"	17	1	1	1	5	216	0	6	6	1	1046	1	"onvriendelijk"	1	1
"18"	1	"v"	18	1	1	1	5	216	0	6	6	1	641	1	"onvriendelijk"	1	1
"19"	1	"v"	19	1	1	2	4	216	1	5	5	1	1306	7	"sympathiek"	1	1
"20"	1	"v"	20	1	1	2	3	216	1	5	5	1	842	6	"mooi"	1	1
"21"	1	"v"	21	1	1	2	3	216	1	5	5	1	1365	7	"lief"	1	1
"22"	1	"v"	22	1	1	2	2	216	1	5	5	1	674	1	"vriendelijk"	1	1
"24"	1	"v"	24	1	1	1	1	216	0	6	6	1	689	7	"onsympathiek"	1	1
"25"	1	"v"	25	1	1	2	4	216	0	6	6	1	690	1	"onaardig"	1	1
"26"	1	"v"	26	1	1	2	6	216	0	6	6	1	610	1	"stug"	1	1
"27"	1	"v"	27	1	1	2	2	216	1	5	5	1	795	7	"vriendelijk"	1	1
"28"	1	"v"	28	1	1	2	2	216	0	6	6	1	576	6	"irritant"	1	1
"29"	1	"v"	29	1	1	1	5	216	1	5	5	1	908	1	"lief"	1	1
