"pp"	"ca"	"value"	"face"	"type"	"cc"
"1"	"1"	"1"	4	"1"	"1"	"1"
"2"	"2"	"0"	4.5	"1"	"1"	"3"
"3"	"3"	"1"	5	"1"	"1"	"1"
"4"	"4"	"0"	6	"1"	"1"	"2"
"5"	"5"	"1"	6	"1"	"1"	"1"
"6"	"6"	"0"	4	"1"	"1"	"3"
"7"	"7"	"1"	6	"1"	"1"	"1"
"8"	"8"	"0"	2.5	"1"	"1"	"1"
"9"	"9"	"1"	3.5	"1"	"2"	"2"
"10"	"10"	"0"	5.5	"1"	"2"	"3"
"11"	"11"	"1"	5.5	"1"	"2"	"1"
"12"	"12"	"0"	5.5	"1"	"2"	"1"
"13"	"13"	"1"	4.5	"1"	"2"	"3"
"14"	"14"	"0"	4	"1"	"2"	"2"
"15"	"15"	"1"	4.5	"1"	"2"	"2"
"16"	"16"	"0"	5.5	"1"	"2"	"2"
"17"	"17"	"1"	4.5	"1"	"1"	"1"
"18"	"18"	"0"	4.5	"1"	"1"	"2"
"19"	"20"	"0"	4.5	"1"	"1"	"1"
"20"	"21"	"1"	6.5	"1"	"1"	"1"
"21"	"22"	"0"	4	"1"	"1"	"1"
"22"	"23"	"1"	6.5	"1"	"1"	"1"
"23"	"24"	"0"	5.5	"1"	"1"	"3"
"24"	"25"	"1"	5.5	"1"	"2"	"1"
"25"	"26"	"0"	5.5	"1"	"2"	"1"
"26"	"27"	"1"	4.5	"1"	"2"	"1"
"27"	"28"	"0"	6	"1"	"2"	"3"
"28"	"29"	"1"	4.5	"1"	"2"	"1"
"29"	"30"	"0"	4	"1"	"2"	"3"
"30"	"31"	"1"	5.5	"1"	"2"	"2"
"31"	"32"	"0"	5	"1"	"2"	"2"
"32"	"33"	"1"	6	"1"	"1"	"1"
"33"	"34"	"0"	4.5	"1"	"1"	"1"
"34"	"35"	"1"	3.5	"1"	"1"	"3"
"35"	"36"	"0"	4.5	"1"	"1"	"1"
"36"	"37"	"1"	5.5	"1"	"1"	"1"
"37"	"38"	"0"	4	"1"	"1"	"1"
"38"	"39"	"1"	6	"1"	"1"	"1"
"39"	"40"	"0"	6	"1"	"1"	"1"
"40"	"41"	"1"	4	"1"	"2"	"2"
"41"	"42"	"0"	4.5	"1"	"2"	"2"
"42"	"43"	"1"	5	"1"	"2"	"1"
"43"	"44"	"0"	4.5	"1"	"2"	"1"
"44"	"45"	"1"	4	"1"	"2"	"1"
"45"	"46"	"0"	5	"1"	"2"	"2"
"46"	"47"	"1"	5	"1"	"2"	"2"
"47"	"48"	"0"	2.5	"1"	"2"	"1"
"48"	"49"	"1"	5.5	"1"	"1"	"1"
"49"	"50"	"0"	4	"1"	"1"	"3"
"50"	"51"	"1"	4	"1"	"1"	"1"
"51"	"52"	"0"	4.5	"1"	"1"	"1"
"52"	"53"	"1"	3.5	"1"	"1"	"1"
"53"	"54"	"0"	4	"1"	"1"	"1"
"54"	"55"	"1"	5	"1"	"1"	"3"
"55"	"56"	"0"	5	"1"	"1"	"2"
"56"	"57"	"1"	4.5	"1"	"2"	"1"
"57"	"58"	"0"	4.5	"1"	"2"	"2"
"58"	"59"	"1"	5	"1"	"2"	"2"
"59"	"60"	"0"	5	"1"	"2"	"3"
"60"	"61"	"1"	4.5	"1"	"2"	"2"
"61"	"62"	"0"	3	"1"	"2"	"2"
"62"	"63"	"1"	5	"1"	"2"	"1"
"63"	"1"	"1"	4.5	"2"	"1"	"1"
"64"	"2"	"0"	4	"2"	"1"	"3"
"65"	"3"	"1"	3	"2"	"2"	"1"
"66"	"4"	"0"	3.5	"2"	"2"	"3"
"67"	"5"	"1"	4.5	"2"	"1"	"1"
"68"	"6"	"0"	3.5	"2"	"1"	"3"
"69"	"7"	"1"	3	"2"	"2"	"1"
"70"	"8"	"0"	2.5	"2"	"2"	"1"
"71"	"9"	"1"	4.5	"2"	"1"	"1"
"72"	"10"	"0"	4	"2"	"1"	"3"
"73"	"11"	"1"	3	"2"	"2"	"1"
"74"	"12"	"0"	1	"2"	"2"	"1"
"75"	"13"	"1"	4	"2"	"1"	"1"
"76"	"14"	"0"	4	"2"	"1"	"2"
"77"	"15"	"1"	2	"2"	"2"	"1"
"78"	"16"	"0"	4.5	"2"	"2"	"1"
"79"	"17"	"1"	2	"2"	"1"	"2"
"80"	"18"	"0"	4	"2"	"1"	"1"
"81"	"20"	"0"	3.5	"2"	"2"	"1"
"82"	"21"	"1"	3.5	"2"	"1"	"1"
"83"	"22"	"0"	4	"2"	"1"	"1"
"84"	"23"	"1"	0.5	"2"	"2"	"1"
"85"	"24"	"0"	4.5	"2"	"2"	"1"
"86"	"25"	"1"	3	"2"	"1"	"1"
"87"	"26"	"0"	1.5	"2"	"1"	"1"
"88"	"27"	"1"	5	"2"	"2"	"1"
"89"	"28"	"0"	2.5	"2"	"2"	"1"
"90"	"29"	"1"	2	"2"	"1"	"1"
"91"	"30"	"0"	2	"2"	"1"	"2"
"92"	"31"	"1"	1.5	"2"	"2"	"1"
"93"	"32"	"0"	2	"2"	"2"	"1"
"94"	"33"	"1"	1	"2"	"1"	"2"
"95"	"34"	"0"	3.5	"2"	"1"	"3"
"96"	"35"	"1"	2	"2"	"2"	"1"
"97"	"36"	"0"	4	"2"	"2"	"1"
"98"	"37"	"1"	2.5	"2"	"1"	"1"
"99"	"38"	"0"	2	"2"	"1"	"2"
"100"	"39"	"1"	3.5	"2"	"2"	"1"
"101"	"40"	"0"	3.5	"2"	"2"	"1"
"102"	"41"	"1"	3	"2"	"1"	"3"
"103"	"42"	"0"	3	"2"	"1"	"2"
"104"	"43"	"1"	3	"2"	"2"	"1"
"105"	"44"	"0"	4	"2"	"2"	"3"
"106"	"45"	"1"	5.5	"2"	"1"	"1"
"107"	"46"	"0"	1.5	"2"	"1"	"2"
"108"	"47"	"1"	3	"2"	"2"	"1"
"109"	"48"	"0"	3.5	"2"	"2"	"3"
"110"	"49"	"1"	4	"2"	"1"	"1"
"111"	"50"	"0"	2.5	"2"	"1"	"1"
"112"	"51"	"1"	4.5	"2"	"2"	"1"
"113"	"52"	"0"	3.5	"2"	"2"	"1"
"114"	"53"	"1"	6	"2"	"1"	"1"
"115"	"54"	"0"	4	"2"	"1"	"1"
"116"	"55"	"1"	4	"2"	"2"	"1"
"117"	"56"	"0"	4.5	"2"	"2"	"2"
"118"	"57"	"1"	4	"2"	"1"	"2"
"119"	"58"	"0"	3.5	"2"	"1"	"2"
"120"	"59"	"1"	1.5	"2"	"2"	"1"
"121"	"60"	"0"	1.5	"2"	"2"	"1"
"122"	"61"	"1"	1	"2"	"1"	"2"
"123"	"62"	"0"	4	"2"	"1"	"1"
"124"	"63"	"1"	2	"2"	"2"	"1"
"125"	"1"	"1"	3.5	"3"	"2"	"1"
"126"	"2"	"0"	4	"3"	"2"	"3"
"127"	"3"	"1"	4	"3"	"1"	"1"
"128"	"4"	"0"	5	"3"	"1"	"1"
"129"	"5"	"1"	4	"3"	"2"	"1"
"130"	"6"	"0"	4	"3"	"2"	"1"
"131"	"7"	"1"	5	"3"	"1"	"1"
"132"	"8"	"0"	4	"3"	"1"	"1"
"133"	"9"	"1"	2.5	"3"	"2"	"1"
"134"	"10"	"0"	3	"3"	"2"	"3"
"135"	"11"	"1"	3.5	"3"	"1"	"1"
"136"	"12"	"0"	2.5	"3"	"1"	"2"
"137"	"13"	"1"	4	"3"	"2"	"1"
"138"	"14"	"0"	3	"3"	"2"	"1"
"139"	"15"	"1"	5.5	"3"	"1"	"3"
"140"	"16"	"0"	4.5	"3"	"1"	"1"
"141"	"17"	"1"	2	"3"	"2"	"1"
"142"	"18"	"0"	4.5	"3"	"2"	"2"
"143"	"20"	"0"	1.5	"3"	"1"	"3"
"144"	"21"	"1"	3.5	"3"	"2"	"1"
"145"	"22"	"0"	3.5	"3"	"2"	"1"
"146"	"23"	"1"	2.5	"3"	"1"	"1"
"147"	"24"	"0"	3.5	"3"	"1"	"3"
"148"	"25"	"1"	2.5	"3"	"2"	"1"
"149"	"26"	"0"	3.5	"3"	"2"	"3"
"150"	"27"	"1"	5	"3"	"1"	"1"
"151"	"28"	"0"	6	"3"	"1"	"1"
"152"	"29"	"1"	3	"3"	"2"	"1"
"153"	"30"	"0"	3	"3"	"2"	"1"
"154"	"31"	"1"	3	"3"	"1"	"2"
"155"	"32"	"0"	3	"3"	"1"	"3"
"156"	"33"	"1"	2	"3"	"2"	"1"
"157"	"34"	"0"	4	"3"	"2"	"1"
"158"	"35"	"1"	2.5	"3"	"1"	"1"
"159"	"36"	"0"	4	"3"	"1"	"1"
"160"	"37"	"1"	5	"3"	"2"	"1"
"161"	"38"	"0"	2	"3"	"2"	"1"
"162"	"39"	"1"	5.5	"3"	"1"	"1"
"163"	"40"	"0"	4.5	"3"	"1"	"3"
"164"	"41"	"1"	2.5	"3"	"2"	"2"
"165"	"42"	"0"	3.5	"3"	"2"	"1"
"166"	"43"	"1"	5	"3"	"1"	"1"
"167"	"44"	"0"	4.5	"3"	"1"	"2"
"168"	"45"	"1"	2.5	"3"	"2"	"1"
"169"	"46"	"0"	3.5	"3"	"2"	"1"
"170"	"47"	"1"	3.5	"3"	"1"	"1"
"171"	"48"	"0"	4.5	"3"	"1"	"1"
"172"	"49"	"1"	4.5	"3"	"2"	"2"
"173"	"50"	"0"	4	"3"	"2"	"2"
"174"	"51"	"1"	2.5	"3"	"1"	"1"
"175"	"52"	"0"	2	"3"	"1"	"1"
"176"	"53"	"1"	2.5	"3"	"2"	"1"
