"pp"	"orde"	"X0nr"	"X0ty"	"X0ca"	"X0ra"	"X0vr"	"X0ac"	"X0ze"	"X0pct"	"X1nr"	"X1ty"	"X1ca"	"X1ra"	"X1vr"	"X1ac"	"X1ze"	"X1pct"	"X2nr"	"X2ty"	"X2ca"	"X2ra"	"X2vr"	"X2ac"	"X2ze"	"X2pct"	"X3nr"	"X3ty"	"X3ca"	"X3ra"	"X3vr"	"X3ac"	"X3ze"	"X3pct"	"X4nr"	"X4ty"	"X4ca"	"X4ra"	"X4vr"	"X4ac"	"X4ze"	"X4pct"	"X5nr"	"X5ty"	"X5ca"	"X5ra"	"X5vr"	"X5ac"	"X5ze"	"X5pct"	"X6nr"	"X6ty"	"X6ca"	"X6ra"	"X6vr"	"X6ac"	"X6ze"	"X6pct"	"X7nr"	"X7ty"	"X7ca"	"X7ra"	"X7vr"	"X7ac"	"X7ze"	"X7pct"	"oft"	"doel"	"gelo"	"bena"	"verm"	"w1"	"w2"	"w3"	"w4"	"w5"	"w6"	"w7"	"w8"	"w9"	"w10"	"w11"	"wtot"	"f1_exp"	"f2_exp"	"f3_exp"	"f4_exp"	"f5_exp"	"f6_exp"	"f7_exp"	"f8_exp"	"f1_cc"	"f2_cc"	"f3_cc"	"f4_cc"	"f5_cc"	"f6_cc"	"f7_cc"	"f8_cc"	"cc"	"cc_p"	"ci"	"ci_p"	"dbt"	"dbt_p"	"dbt2"	"dbt2_p"
"1"	1	1	1	1	1	3	3	1	1	60	0	1	0	3	3	2	1	60	4	2	0	1	1	1	1	60	7	2	0	2	2	1	1	60	5	2	1	5	5	2	1	60	2	1	1	3	3	1	1	60	6	2	1	3	3	2	1	60	3	1	1	4	3	1	2	70	1	6	0	6	5	3	4	5	3	5	3	5	4	2	4	5	43	3	3	1	2	5	3	3	3.5	1	2	2	2	1	1	1	1	5	62.5	3	37.5	0	0	0	0
"2"	2	2	1	1	0	4	4	4	3	50	0	1	1	4	5	1	3	80	4	2	1	4	4	2	1	70	7	2	0	4	4	3	1	50	5	2	0	5	5	1	2	75	2	1	1	4	4	1	3	100	6	2	1	4	4	2	3	100	3	1	1	5	5	1	2	70	2	2	3	3	2	4	3	5	3	4	3	4	2	3	5	2	38	4	4.5	4	4	5	4	4	5	4	1	1	3	2	1	1	1	5	62.5	1	12.5	1	12.5	1	12.5
"3"	3	1	1	1	0	5	5	4	3	60	4	2	1	3	4	2	1	50	0	1	0	4	2	3	1	40	7	2	1	4	6	2	2	80	5	2	0	5	5	3	1	50	6	2	0	4	3	4	3	50	2	1	0	3	1	2	1	70	3	1	0	3	4	2	1	60	1	6	2	6	1	2	2	3	2	4	2	4	3	3	3	3	31	5	3.5	3	5	5	3.5	2	3.5	4	1	3	1	3	4	2	2	2	25	2	25	2	25	2	25
"4"	4	2	1	1	1	5	4	1	1	70	4	2	1	3	3	2	1	70	0	1	0	5	3	4	3	50	7	2	0	5	3	3	1	60	5	2	0	6	4	1	2	100	6	2	1	3	2	2	2	70	2	1	1	7	2	1	2	100	3	1	0	2	2	4	1	60	2	2	2	6	0	1	2	2	1	5	2	2	1	2	2	1	21	4.5	3	4	4	5	2.5	4.5	2	1	1	4	3	2	1	1	4	4	50	1	12.5	1	12.5	2	25
"5"	5	1	1	1	0	2	2	4	3	50	0	1	0	2	2	4	3	50	4	2	0	3	3	4	3	50	7	2	0	2	2	4	3	50	5	2	0	3	3	4	3	50	6	2	0	3	3	4	3	50	2	1	0	3	3	4	3	50	3	1	0	3	3	4	3	50	1	2	0	5	2	1	1	1	1	1	1	1	1	3	1	1	13	2	2	3	2	3	3	3	3	4	4	4	4	4	4	4	4	0	0	0	0	0	0	8	100
"6"	6	2	1	1	0	2	2	2	2	70	0	1	1	3	3	1	3	100	4	2	1	3	3	2	3	100	7	2	1	3	3	2	3	100	5	2	1	3	3	2	3	100	6	2	1	4	4	2	3	100	2	1	1	4	4	1	3	100	3	1	1	4	3	1	3	100	1	3	0	3	2	2	2	2	2	1	3	3	1	5	5	3	29	2	3	3	3	3	4	4	3.5	2	1	1	1	1	1	1	1	7	87.5	1	12.5	0	0	0	0
"7"	7	1	1	1	0	5	5	3	1	40	4	2	0	5	4	1	1	50	0	1	0	3	4	4	2	0	7	2	1	3	3	2	2	60	5	2	0	5	5	1	1	80	2	1	0	5	5	4	2	50	6	2	0	4	3	4	2	50	3	1	0	3	4	3	1	50	2	2	5	5	5	3	5	5	4	5	5	4	5	4	3	5	48	5	4.5	3.5	3	5	5	3.5	3.5	3	2	4	1	2	4	4	3	1	12.5	2	25	2	25	3	37.5
"8"	8	2	1	1	1	5	6	1	3	100	4	2	1	1	1	2	3	100	0	1	1	5	4	1	3	100	7	2	1	2	2	2	3	100	5	2	0	4	4	1	2	100	2	1	0	3	4	4	1	50	6	2	0	5	6	3	1	50	3	1	1	2	3	1	3	100	2	2	5	6	1	4	2	3	2	4	2	2	2	4	3	2	30	5.5	1	4.5	2	4	3.5	5.5	2.5	1	1	1	1	2	4	3	1	5	62.5	1	12.5	1	12.5	1	12.5
"9"	9	1	5	2	0	5	5	1	1	50	0	1	0	4	4	2	2	60	4	2	1	3	3	2	2	70	3	1	1	3	3	1	2	70	1	1	1	6	6	1	3	70	2	1	0	6	6	2	1	50	6	2	1	2	2	2	2	70	7	2	1	2	2	2	3	90	1	3	5	5	2	4	4	5	5	2	3	5	3	5	4	4	44	5	4	3	3	6	6	2	2	2	2	1	1	1	2	1	1	5	62.5	3	37.5	0	0	0	0
"10"	10	2	5	2	1	5	5	2	2	75	0	1	1	5	5	1	3	85	4	2	0	2	2	1	2	75	3	1	1	2	2	1	2	60	1	1	0	5	5	2	1	65	2	1	0	3	3	2	1	70	6	2	0	4	4	1	1	55	7	2	0	4	4	1	2	70	2	5	4	6	0	1	3	3	1	5	1	1	1	2	3	1	22	5	5	2	2	5	3	4	4	1	1	2	1	2	2	2	2	3	37.5	5	62.5	0	0	0	0
