"pp"	"orde"	"value"	"face"	"type"	"cc"	"order"
"1"	"1"	1	3	"1"	"1"	"1"	"1"
"2"	"2"	2	4	"1"	"1"	"3"	"2"
"3"	"3"	1	5	"1"	"1"	"3"	"1"
"4"	"4"	2	4.5	"1"	"1"	"1"	"2"
"5"	"5"	1	2	"1"	"1"	"3"	"1"
"6"	"6"	2	2	"1"	"1"	"2"	"2"
"7"	"7"	1	5	"1"	"1"	"3"	"1"
"8"	"8"	2	5.5	"1"	"1"	"1"	"2"
"9"	"9"	1	5	"1"	"2"	"2"	"1"
"10"	"10"	2	5	"1"	"2"	"1"	"2"
"11"	"11"	1	3.5	"1"	"2"	"1"	"1"
"12"	"12"	2	5.5	"1"	"2"	"3"	"2"
"13"	"13"	1	6	"1"	"2"	"3"	"1"
"14"	"14"	2	5	"1"	"2"	"1"	"2"
"15"	"15"	1	4	"1"	"2"	"1"	"1"
"16"	"16"	2	4.5	"1"	"2"	"3"	"2"
"17"	"17"	1	5	"1"	"1"	"1"	"1"
"18"	"18"	2	2	"1"	"1"	"1"	"2"
"19"	"19"	1	3.5	"1"	"1"	"2"	"1"
"20"	"20"	2	4.5	"1"	"1"	"3"	"2"
"21"	"21"	1	5	"1"	"1"	"3"	"1"
"22"	"22"	2	2	"1"	"1"	"3"	"2"
"23"	"23"	1	4.5	"1"	"1"	"1"	"1"
"24"	"24"	2	4.5	"1"	"1"	"1"	"2"
"25"	"25"	1	4	"1"	"2"	"3"	"1"
"26"	"26"	2	2	"1"	"2"	"2"	"2"
"27"	"27"	1	5	"1"	"2"	"2"	"1"
"28"	"28"	2	5	"1"	"2"	"2"	"2"
"29"	"29"	1	3	"1"	"2"	"3"	"1"
"30"	"31"	1	5	"1"	"2"	"3"	"1"
"31"	"32"	2	5.5	"1"	"2"	"2"	"2"
"32"	"33"	1	5	"1"	"1"	"3"	"1"
"33"	"34"	2	4	"1"	"1"	"1"	"2"
"34"	"35"	1	6.5	"1"	"1"	"1"	"1"
"35"	"36"	2	5	"1"	"1"	"2"	"2"
"36"	"37"	1	4	"1"	"1"	"2"	"1"
"37"	"38"	2	6	"1"	"1"	"1"	"2"
"38"	"39"	1	4.5	"1"	"1"	"3"	"1"
"39"	"40"	2	4.5	"1"	"1"	"1"	"2"
"40"	"41"	1	5	"1"	"2"	"3"	"1"
"41"	"42"	2	4	"1"	"2"	"1"	"2"
"42"	"43"	1	4	"1"	"2"	"1"	"1"
"43"	"44"	2	3.5	"1"	"2"	"3"	"2"
"44"	"45"	1	2	"1"	"2"	"3"	"1"
"45"	"46"	2	5	"1"	"2"	"3"	"2"
"46"	"47"	1	5.5	"1"	"2"	"2"	"1"
"47"	"48"	2	3.5	"1"	"2"	"2"	"2"
"48"	"49"	1	2	"1"	"1"	"2"	"1"
"49"	"50"	2	1.5	"1"	"1"	"2"	"2"
"50"	"51"	1	5.5	"1"	"1"	"3"	"1"
"51"	"52"	2	5	"1"	"1"	"2"	"2"
"52"	"53"	1	4.5	"1"	"1"	"1"	"1"
"53"	"54"	2	4	"1"	"1"	"1"	"2"
"54"	"55"	1	5.5	"1"	"1"	"1"	"1"
"55"	"56"	2	3.5	"1"	"1"	"1"	"2"
"56"	"57"	1	3	"1"	"2"	"1"	"1"
"57"	"58"	2	5.5	"1"	"2"	"2"	"2"
"58"	"59"	1	3.5	"1"	"2"	"2"	"1"
"59"	"60"	2	4	"1"	"2"	"3"	"2"
"60"	"61"	1	5	"1"	"2"	"3"	"1"
"61"	"62"	2	4.5	"1"	"2"	"1"	"2"
"62"	"63"	1	4.5	"1"	"2"	"3"	"1"
"63"	"1"	1	3	"2"	"1"	"2"	"1"
"64"	"2"	2	4.5	"2"	"1"	"1"	"2"
"65"	"3"	1	3.5	"2"	"2"	"1"	"1"
"66"	"4"	2	3	"2"	"2"	"1"	"2"
"67"	"5"	1	2	"2"	"1"	"3"	"1"
"68"	"6"	2	3	"2"	"1"	"1"	"2"
"69"	"7"	1	4.5	"2"	"2"	"2"	"1"
"70"	"8"	2	1	"2"	"2"	"1"	"2"
"71"	"9"	1	4	"2"	"1"	"2"	"1"
"72"	"10"	2	5	"2"	"1"	"1"	"2"
"73"	"11"	1	2	"2"	"2"	"1"	"1"
"74"	"12"	2	3	"2"	"2"	"1"	"2"
"75"	"13"	1	5	"2"	"1"	"3"	"1"
"76"	"14"	2	3	"2"	"1"	"1"	"2"
"77"	"15"	1	2.5	"2"	"2"	"1"	"1"
"78"	"16"	2	5	"2"	"2"	"1"	"2"
"79"	"17"	1	4	"2"	"1"	"1"	"1"
"80"	"18"	2	3.5	"2"	"1"	"1"	"2"
"81"	"19"	1	1.5	"2"	"2"	"2"	"1"
"82"	"20"	2	3.5	"2"	"2"	"3"	"2"
"83"	"21"	1	4	"2"	"1"	"2"	"1"
"84"	"22"	2	5	"2"	"1"	"1"	"2"
"85"	"23"	1	3.5	"2"	"2"	"1"	"1"
"86"	"24"	2	2.5	"2"	"2"	"1"	"2"
"87"	"25"	1	1	"2"	"1"	"2"	"1"
"88"	"26"	2	4	"2"	"1"	"3"	"2"
